id,strain,virus,accession,year,month,country,longitude,latitude,year__colour
1_0087_PF,1_0087_PF,zika,KX447509,2013,12,French Polynesia,-144.590430,-18.177350,blue
1_0181_PF,1_0181_PF,zika,KX447512,2013,12,French Polynesia,-144.590430,-18.177350,blue
1_0199_PF,1_0199_PF,zika,KX447519,2013,11,French Polynesia,-144.590430,-18.177350,blue
aegypti2016_FL,Aedes_aegypti/USA/2016/FL05,zika,KY075937,2016,09,USA,-100.051117,40.315399,red
BRA_2016_6706,BRA/2016/FC_6706,zika,KY785433,2016,04,Brazil,-51.925282,-14.235004,red
2015_ZBRA105,Brazil/2015/ZBRA105,zika,KY558989,2015,02,Brazil,-51.925282,-14.235004,green
2015_ZBRC301,Brazil/2015/ZBRC301,zika,KY558995,2015,05,Brazil,-51.925282,-14.235004,green
2015_ZBRC303,Brazil/2015/ZBRC303,zika,KY558997,2015,05,Brazil,-51.925282,-14.235004,green
2016_ZBRC16,Brazil/2016/ZBRC16,zika,KY558991,2016,01,Brazil,-51.925282,-14.235004,red
COL_00008_2015,COL/FLR_00008/2015,zika,MF574562,2015,12,Colombia,-74.487779,6.006964,green
COL_00024_2015,COL/FLR_00024/2015,zika,MF574569,2015,12,Colombia,-74.487779,6.006964,green
COL_00028_2015,COL/PRV_00028/2015,zika,MF574578,2016,12,Colombia,-74.487779,6.006964,red
COL2016_ZC204Se,Colombia/2016/ZC204Se,zika,KY317939,2016,01,Colombia,-74.487779,6.006964,red
DOM_2016_BB_005,DOM/2016/BB_0059,zika,KY785425,2016,04,Dominican Republic,-70.083809,19.299228,red
DOM_2016_BB_018,DOM/2016/BB_0183,zika,KY785420,2016,04,Dominican Republic,-70.083809,19.299228,red
2016_BB_0433,DOM/2016/BB_0433,zika,KY785441,2016,06,Dominican Republic,-70.083809,19.299228,red
2016_WGS16_011,DOM/2016/MA_WGS16_011,zika,KY785484,2016,06,Dominican Republic,-70.083809,19.299228,red
EcEs062_16,EcEs062_16,zika,KX879603,2016,04,Ecuador,-83.699872,-1.569011,red
HND_2016_ME59,HND/2016/HU_ME59,zika,KY785418,2016,05,Honduras,-85.764891,15.313039,red
Nica1_16,Nica1_16,zika,KX421195,2016,01,Nicaragua,-85.262117,12.879719,red
PAN_2593_2015,PAN/CDC_259359_V1_V3/2015,zika,KX156774,2015,12,Panama,-80.095551,8.454630,green
PRVABC59,PRVABC59,zika,KU501215,2015,12,Puerto Rico,-66.601155,18.199152,green
SG_018,SG_018,zika,KY241688,2016,09,Singapore,104.068673,1.321768,red
SG_027,SG_027,zika,KY241697,2016,08,Singapore,104.068673,1.321768,red
SG_056,SG_056,zika,KY241726,2016,08,Singapore,104.068673,1.321768,red
SG_074,SG_074,zika,KY241744,2016,08,Singapore,104.068673,1.321768,red
SMGC_1,SMGC_1,zika,KX266255,2016,02,American Samoa,-169.613710,-12.810511,red
Thai_1610acTw,Thailand/1610acTw,zika,MF692778,2016,10,Thailand,101.490310,13.151099,red
2016_FL022,USA/2016/FL022,zika,KY075935,2016,07,USA,-100.051117,40.315399,red
2016_FLUR022,USA/2016/FLUR022,zika,KY325473,2016,08,USA,-100.051117,40.315399,red
USA2016_FLWB042,USA/2016/FLWB042,zika,KY325478,2016,09,USA,-100.051117,40.315399,red
V8375,V8375,zika,KU501217,2015,11,Guatemala,-90.243055,15.736337,green
VEN-UF_1_2016,VEN/UF_1/2016,zika,KX702400,2016,03,Venezuela,-66.447836,8.356274,red
ZKC2_2016,ZKC2/2016,zika,KX253996,2016,02,American Samoa,-169.613710,-12.810511,red
